"Date","Returns","Lag_Returns_1","Lag_Returns_2","Residuals","Lag_Residuals_1","Lag_Residuals_2","Lag_Residuals_3","Variance","Lag_Variance_1","Squared_Residuals","Lag_Squared_Residuals_1","Lag_Squared_Residuals_2","Lag_Squared_Residuals_3"
2022-11-30,4.85937884764334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-01,0.189149819475798,4.85937884764334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-02,-0.337135046872084,0.189149819475798,4.85937884764334,NA,NA,NA,NA,10.9055195877694,NA,NA,NA,NA,NA
2022-12-03,-0.490860916318377,-0.337135046872084,0.189149819475798,NA,NA,NA,NA,8.18196193199622,10.9055195877694,NA,NA,NA,NA
2022-12-04,-0.644586785764671,-0.490860916318377,-0.337135046872084,NA,NA,NA,NA,6.5169069472989,8.18196193199622,NA,NA,NA,NA
2022-12-05,-0.798312655210964,-0.644586785764671,-0.490860916318377,NA,NA,NA,NA,5.46548980014631,6.5169069472989,NA,NA,NA,NA
2022-12-06,-2.53700497006042,-0.798312655210964,-0.644586785764671,NA,NA,NA,NA,4.75417314281429,5.46548980014631,NA,NA,NA,NA
2022-12-07,-1.37849057636799,-2.53700497006042,-0.798312655210964,NA,NA,NA,NA,5.24747710755505,4.75417314281429,NA,NA,NA,NA
2022-12-08,1.2132784165898,-1.37849057636799,-2.53700497006042,NA,NA,NA,NA,4.74736132902987,5.24747710755505,NA,NA,NA,NA
2022-12-09,-0.343493527738892,1.2132784165898,-1.37849057636799,NA,NA,NA,NA,4.35809789832482,4.74736132902987,NA,NA,NA,NA
2022-12-10,0.317340445927032,-0.343493527738892,1.2132784165898,NA,NA,NA,NA,3.88624626622654,4.35809789832482,NA,NA,NA,NA
2022-12-11,0.978174419592955,0.317340445927032,-0.343493527738892,NA,NA,NA,NA,3.50838872810451,3.88624626622654,NA,NA,NA,NA
2022-12-12,1.63900839325888,0.978174419592955,0.317340445927032,NA,NA,NA,NA,3.26845128354911,3.50838872810451,NA,NA,NA,NA
2022-12-13,0.678227898431571,1.63900839325888,0.978174419592955,NA,NA,NA,NA,3.1816969705681,3.26845128354911,NA,NA,NA,NA
2022-12-14,-1.55358195981022,0.678227898431571,1.63900839325888,NA,NA,NA,NA,2.95293957769144,3.1816969705681,NA,NA,NA,NA
2022-12-15,-4.68543687921188,-1.55358195981022,0.678227898431571,NA,NA,NA,NA,2.95621601978028,2.95293957769144,NA,NA,NA,NA
2022-12-16,-1.4578593456852,-4.68543687921188,-1.55358195981022,NA,NA,NA,NA,4.20204221734829,2.95621601978028,NA,NA,NA,NA
2022-12-17,-1.5022290131756,-1.4578593456852,-4.68543687921188,NA,NA,NA,NA,4.0353342221428,4.20204221734829,NA,NA,NA,NA
2022-12-18,-1.54659868066601,-1.5022290131756,-1.4578593456852,NA,NA,NA,NA,3.88424255317581,4.0353342221428,NA,NA,NA,NA
2022-12-19,-1.59096834815642,-1.54659868066601,-1.5022290131756,NA,NA,NA,NA,3.7469619124831,3.88424255317581,NA,NA,NA,NA
2022-12-20,-0.0528730646177755,-1.59096834815642,-1.54659868066601,NA,NA,NA,NA,3.6219263355491,3.7469619124831,NA,NA,NA,NA
2022-12-21,2.38093076018229,-0.0528730646177755,-1.59096834815642,NA,NA,NA,NA,3.44832488923215,3.6219263355491,NA,NA,NA,NA
2022-12-22,-2.37725430022298,2.38093076018229,-0.0528730646177755,NA,NA,NA,NA,3.6434513965903,3.44832488923215,NA,NA,NA,NA
2022-12-23,-0.2797994380482,-2.37725430022298,2.38093076018229,NA,NA,NA,NA,3.66492339729583,3.6434513965903,NA,NA,NA,NA
2022-12-24,-0.556810240052596,-0.2797994380482,-2.37725430022298,NA,NA,NA,NA,3.50611373523028,3.66492339729583,NA,NA,NA,NA
2022-12-25,-0.833821042056992,-0.556810240052596,-0.2797994380482,NA,NA,NA,NA,3.36116048209393,3.50611373523028,NA,NA,NA,NA
2022-12-26,-1.11083184406139,-0.833821042056992,-0.556810240052596,NA,NA,NA,NA,3.23411657768668,3.36116048209393,NA,NA,NA,NA
2022-12-27,-1.38784264606578,-1.11083184406139,-0.833821042056992,NA,NA,NA,NA,3.12781584725478,3.23411657768668,NA,NA,NA,NA
2022-12-28,-3.06851508538668,-1.38784264606578,-1.11083184406139,NA,NA,NA,NA,3.04420117891606,3.12781584725478,NA,NA,NA,NA
2022-12-29,2.83243402039413,-3.06851508538668,-1.38784264606578,NA,NA,NA,NA,3.16799513444504,3.04420117891606,NA,NA,NA,NA
2022-12-30,0.246881303866031,2.83243402039413,-3.06851508538668,NA,NA,NA,NA,3.44267699366277,3.16799513444504,NA,NA,NA,NA
2022-12-31,-0.7499544534492,0.246881303866031,2.83243402039413,NA,NA,NA,NA,3.34350676428798,3.44267699366277,NA,NA,NA,NA
2023-01-01,-1.74679021076443,-0.7499544534492,0.246881303866031,NA,NA,NA,NA,3.23893553053401,3.34350676428798,NA,NA,NA,NA
2023-01-02,-2.74362596807966,-1.74679021076443,-0.7499544534492,NA,NA,NA,NA,3.18979089696713,3.23893553053401,NA,NA,NA,NA
2023-01-03,-3.74046172539489,-2.74362596807966,-1.74679021076443,NA,NA,NA,NA,3.2444171236805,3.18979089696713,NA,NA,NA,NA
2023-01-04,1.03142601906796,-3.74046172539489,-2.74362596807966,NA,NA,NA,NA,3.44121948346184,3.2444171236805,NA,NA,NA,NA
2023-01-05,-1.06046854400214,1.03142601906796,-3.74046172539489,NA,NA,NA,NA,3.4199190393735,3.44121948346184,NA,NA,NA,NA
